tracking_number,service_type,carrier_code,package_weight_kg,packaging_type,origin_city,origin_state,origin_pincode,destination_city,destination_state,destination_pincode,pickup_datetime_ist,delivery_datetime_ist,total_transit_hours,num_facilities_visited,num_in_transit_events,time_in_inter_facility_transit_hours,avg_hours_per_facility,is_express_service,delivery_location_type,num_out_for_delivery_attempts,first_attempt_delivery,total_events_count
390767768950,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Rajnandgaon,CT,491441,2020-03-02 16:23:00 IST,2020-03-05 17:30:00 IST,73.11666666666666,0,5,63.05,NULL,False,RECEPTIONIST_OR_FRONT_DESK,0,NULL,9
390839698450,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Kolkata,WB,700017,2020-03-05 19:20:00 IST,2020-03-11 17:09:00 IST,141.81666666666666,0,6,133.0,NULL,False,RESIDENCE,1,True,13
391080351396,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,New Delhi,DL,110048,2020-03-13 17:14:00 IST,2020-03-17 13:21:00 IST,92.11666666666666,0,4,80.31666666666666,NULL,False,RESIDENCE,1,True,10
390948893060,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Bengaluru,KA,560001,2020-03-09 15:12:00 IST,2020-03-10 13:33:00 IST,22.35,0,3,10.8,NULL,False,RECEPTIONIST_OR_FRONT_DESK,1,True,9
390948915036,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Indore,MP,452001,2020-03-09 15:12:00 IST,2020-03-12 11:51:00 IST,68.65,0,6,60.18333333333333,NULL,False,RECEPTIONIST_OR_FRONT_DESK,1,True,12
390901942719,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Hyderabad,TS,500081,2020-03-06 16:07:00 IST,2020-03-11 18:00:00 IST,121.88333333333334,0,7,110.31666666666666,NULL,False,RECEPTIONIST_OR_FRONT_DESK,0,NULL,16
391080316258,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Mumbai,MH,400001,2020-03-13 17:14:00 IST,2020-03-16 15:09:00 IST,69.91666666666667,0,6,50.483333333333334,NULL,False,SHIPPING_RECEIVING,0,NULL,11
280902855329,FEDEX_EXPRESS_SAVER,FDXE,2.0,Your Packaging,Bangalore,KA,560048,Delhi,DL,110029,2021-06-29 19:07:00 IST,2021-07-05 15:57:00 IST,140.83333333333334,0,6,87.25,NULL,False,RESIDENCE,2,False,17
390932015238,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Hyderabad,TS,500033,2020-03-07 16:27:00 IST,2020-03-10 18:00:00 IST,73.55,0,4,47.78333333333333,NULL,False,RECEPTIONIST_OR_FRONT_DESK,1,True,12
390808005402,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Hyderabad,TS,500049,2020-03-03 16:19:00 IST,2020-03-06 18:15:00 IST,73.93333333333334,0,5,59.86666666666667,NULL,False,IN_BOND_OR_CAGE,0,NULL,10
390948897537,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Pune,MH,411001,2020-03-09 15:12:00 IST,2020-03-14 12:49:00 IST,117.61666666666666,0,5,88.56666666666666,NULL,False,RECEPTIONIST_OR_FRONT_DESK,1,True,12
391049835905,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Ahmedabad,GJ,380015,2020-03-12 16:17:00 IST,2020-03-17 13:00:00 IST,116.71666666666667,0,9,108.93333333333334,NULL,False,RECEPTIONIST_OR_FRONT_DESK,1,True,18
390871789380,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Mumbai,MH,400054,2020-03-05 19:20:00 IST,2020-03-09 12:10:00 IST,88.83333333333333,0,4,41.733333333333334,NULL,False,RESIDENCE,2,False,15
390931995152,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Udaipur,RJ,313001,2020-03-07 16:27:00 IST,2020-03-13 13:54:00 IST,141.45,0,11,132.71666666666667,NULL,False,RECEPTIONIST_OR_FRONT_DESK,1,True,18
391080697205,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Pune,MH,411029,2020-03-13 17:14:00 IST,2020-03-16 16:25:00 IST,71.18333333333334,0,8,59.733333333333334,NULL,False,RECEPTIONIST_OR_FRONT_DESK,0,NULL,14
391128770200,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Gurgaon,HR,122002,2020-03-16 15:44:00 IST,2020-03-20 16:55:00 IST,97.18333333333334,0,5,82.4,NULL,False,RESIDENCE,1,True,11
390950240108,FEDEX_EXPRESS_SAVER,FDXE,28.0,Your Packaging,Bangalore,KA,560048,Mumbai,MH,400053,2020-03-09 15:12:00 IST,2020-03-12 16:00:00 IST,72.8,0,5,59.9,NULL,False,NULL,0,NULL,13
390767808307,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Greater Noida,UP,201310,2020-03-02 16:23:00 IST,2020-03-06 18:28:00 IST,98.08333333333333,0,6,86.85,NULL,False,RESIDENCE,0,NULL,11
391128738630,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Mumbai,MH,400089,2020-03-16 15:44:00 IST,2020-03-18 14:08:00 IST,46.4,0,4,33.833333333333336,NULL,False,RESIDENCE,1,True,10
390902329207,FEDEX_EXPRESS_SAVER,FDXE,28.0,Your Packaging,Bangalore,KA,560048,Bengaluru,KA,560080,2020-03-06 16:07:00 IST,2020-03-07 11:06:00 IST,18.983333333333334,0,3,12.95,NULL,False,RECEPTIONIST_OR_FRONT_DESK,1,True,9
391198356290,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Thanjavur,TN,613007,2020-03-18 17:08:00 IST,2020-04-10 09:25:00 IST,544.2833333333333,0,6,107.45,NULL,False,RESIDENCE,0,NULL,15
390931713959,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Gurgaon,HR,122002,2020-03-07 16:27:00 IST,2020-03-11 15:19:00 IST,94.86666666666666,0,5,80.95,NULL,False,RESIDENCE,1,True,11
391017620614,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Delhi,DL,110060,2020-03-11 16:39:00 IST,2020-03-16 16:32:00 IST,119.88333333333334,0,6,85.83333333333333,NULL,False,RESIDENCE,1,True,14
390932012191,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Kozhikode,KL,673004,2020-03-07 16:27:00 IST,2020-03-10 16:00:00 IST,71.55,0,3,59.68333333333333,NULL,False,RECEPTIONIST_OR_FRONT_DESK,0,NULL,8
390871747925,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,indore,MP,452016,2020-03-05 19:20:00 IST,2020-03-09 15:49:00 IST,92.48333333333333,0,8,83.36666666666666,NULL,False,RESIDENCE,1,True,15
391128574287,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Gurugram,HR,122002,2020-03-16 15:44:00 IST,2020-03-20 12:59:00 IST,93.25,0,5,80.1,NULL,False,RESIDENCE,1,True,11
391109027000,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Bhilai,CT,490023,2020-03-14 16:35:00 IST,2020-03-20 15:55:00 IST,143.33333333333334,0,6,110.13333333333334,NULL,False,RESIDENCE,1,True,14
391049862758,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Mumbai,MH,400086,2020-03-12 16:17:00 IST,2020-03-14 16:00:00 IST,47.71666666666667,0,4,33.43333333333333,NULL,False,RECEPTIONIST_OR_FRONT_DESK,1,True,10
390931989124,FEDEX_EXPRESS_SAVER,FDXE,28.0,Your Packaging,Bangalore,KA,560048,GURGAON,HR,122002,2020-03-07 16:27:00 IST,2020-03-11 15:19:00 IST,94.86666666666666,0,5,80.9,NULL,False,RESIDENCE,1,True,11
391195859433,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Hyderabad,TS,500060,2020-03-18 17:08:00 IST,2020-03-20 15:30:00 IST,46.36666666666667,0,4,36.31666666666667,NULL,False,RESIDENCE,1,True,10
390871742485,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Mysore,KA,570004,2020-03-05 19:20:00 IST,2020-03-06 14:00:00 IST,18.666666666666668,0,3,9.866666666666667,NULL,False,RECEPTIONIST_OR_FRONT_DESK,1,True,9
391049866890,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Visakhapatnam,AP,530017,2020-03-12 16:17:00 IST,2020-03-16 16:26:00 IST,96.15,0,7,62.416666666666664,NULL,False,RESIDENCE,1,True,13
390948910847,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Mumbai,MH,400097,2020-03-09 15:12:00 IST,2020-03-12 13:45:00 IST,70.55,0,4,41.88333333333333,NULL,False,RESIDENCE,1,True,14
391018754107,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Nagpur,MH,440010,2020-03-11 16:39:00 IST,2020-03-14 13:17:00 IST,68.63333333333334,0,6,59.05,NULL,False,RECEPTIONIST_OR_FRONT_DESK,1,True,12
280998636780,FEDEX_EXPRESS_SAVER,FDXE,3.8,Your Packaging,Mumbai,MH,400012,Surat,GJ,395007,2021-07-03 18:10:00 IST,2021-07-07 17:34:00 IST,95.4,0,7,70.35,NULL,False,RESIDENCE,2,False,16
